Entity,Type,Town,ZIP,County,Contact Name,Email,Phone,Subject Line,Priority Tier,Est Revenue,Website,Notes,Status
Kol Sasson Congregation,Church/Religious,Skokie,60077,Cook,Office,info@kolsasson.org,,Campus Exterior Maintenance — Kol Sasson Congregation,D,"$3,000",kolsasson.org,Jewish - Orthodox. Meets at Skokie Valley Agudath Jacob Synagogue in Israel Hall.,Ready to Send
Beth Emet The Free Synagogue,Church/Religious,Evanston,60201,Cook,Office,info@bethemet.org,(847) 869-4230,Campus Exterior Maintenance — Beth Emet The Free Synagogue,D,"$3,000",bethemet.org,Jewish - Reform. Large Reform synagogue. Merged with Temple Judea Mizpah. Major campus building in Evanston.,Ready to Send
Beth Hillel Bnai Emunah,Church/Religious,Wilmette,60091,Cook,Office,information@bhbe.org,(847) 256-1213,Campus Exterior Maintenance — Beth Hillel Bnai Emunah,D,"$3,000",bhbe.org,Jewish - Conservative. Large Conservative synagogue with early childhood center/school. Major campus in Wilmette.,Ready to Send
Congregation Sukkat Shalom,Church/Religious,Wilmette,60091,Cook,Office,sukkatshalom@sukkatshalom.org,(847) 251-2675,Campus Exterior Maintenance — Congregation Sukkat Shalom,D,"$3,000",sukkatshalom.org,Jewish - Reform. Reform congregation in Wilmette. Celebrates diversity and welcomes interfaith families.,Ready to Send
North Shore Jewish Center - Congregation Or Simcha,Church/Religious,Wilmette,60091,Cook,Office,info@orsimcha.com,(847) 840-8633,Campus Exterior Maintenance — North Shore Jewish Center - Congregation Or Simcha,D,"$3,000",orsimcha.com,Jewish - Orthodox. Orthodox congregation. Services held at Wilmette Community Recreation Center.,Ready to Send
Am Shalom,Church/Religious,Glencoe,60022,Cook,Office,alatala@amshalom.com,(847) 835-4800,Campus Exterior Maintenance — Am Shalom,D,"$3,000",amshalom.com,Jewish - Reform. Reform congregation established 1972. Community building in Glencoe.,Ready to Send
Congregation Hakafa,Church/Religious,Glencoe,60022,Cook,Office,conghakafa@hakafa.org,(847) 242-0687,Campus Exterior Maintenance — Congregation Hakafa,D,"$3,000",hakafa.org,"Jewish - Reform. Reform congregation meeting in Glencoe. Smaller congregation, meets in shared space.",Ready to Send
North Suburban Lubavitch Chabad - Central Avenue Synagogue,Church/Religious,Highland Park,60035,Lake,Office,info@nschabad.org,(847) 266-0770,Campus Exterior Maintenance — North Suburban Lubavitch Chabad - Central Avenue Synagogue,D,"$3,000",nschabad.org,"Jewish - Chabad/Orthodox. Chabad center serving Highland Park, Deerfield, Glencoe. Includes mikvah, Hebrew school.",Ready to Send
Har-Shalom Synagogue,Church/Religious,Highland Park,60035,Lake,Office,rabbi@har-shalom.com,(847) 814-7456,Campus Exterior Maintenance — Har-Shalom Synagogue,D,"$3,000",har-shalom.com,Jewish - Reform. Smaller Reform congregation in Highland Park.,Ready to Send
Moriah Congregation,Church/Religious,Deerfield,60015,Lake,Office,info@moriahcong.org,(847) 948-5340,Campus Exterior Maintenance — Moriah Congregation,D,"$3,000",moriahcong.org,Jewish - Conservative. Conservative synagogue with early childhood center/school. Campus with multiple buildings.,Ready to Send
Congregation B'nai Tikvah,Church/Religious,Deerfield,60015,Lake,Office,info@bnaitikvah.net,(847) 945-0470,Campus Exterior Maintenance — Congregation B'nai Tikvah,D,"$3,000",bnaitikvah.net,Jewish - Conservative. Conservative synagogue in Deerfield. Established suburban congregation.,Ready to Send
Northbrook Community Synagogue,Church/Religious,Northbrook,60062,Cook,Office,office@northbrookcommunitysynagogue.org,(847) 509-9204,Campus Exterior Maintenance — Northbrook Community Synagogue,D,"$3,000",northbrookcommunitysynagogue.org,Jewish - Traditional. Traditional synagogue formed from merger with Maine Township Jewish Congregation.,Ready to Send
Lubavitch Chabad of Northbrook,Church/Religious,Northbrook,60062,Cook,Office,rabbi@chabadnorthbrook.com,(847) 564-8770,Campus Exterior Maintenance — Lubavitch Chabad of Northbrook,D,"$3,000",chabadnorthbrook.com,"Jewish - Chabad/Orthodox. Chabad center with synagogue, Hebrew school, classes, community programs.",Ready to Send
Temple Beth-El,Church/Religious,Northbrook,60062,Cook,Office,office@templebeth-el.org,(847) 205-9982,Campus Exterior Maintenance — Temple Beth-El,D,"$3,000",templebeth-el.org,Jewish - Reform. Reform synagogue on Dundee Rd in Northbrook.,Ready to Send
Congregation Beth Am,Church/Religious,Buffalo Grove,60089,Lake,Office,lbellows@bethambg.org,(847) 383-5017,Campus Exterior Maintenance — Congregation Beth Am,D,"$3,000",bethambg.org,Jewish - Reform. Reform synagogue in Buffalo Grove. Community food pantry on site.,Ready to Send
Congregation B'nai Shalom of Buffalo Grove,Church/Religious,Buffalo Grove,60089,Lake,Office,shuloffice@bnaishalom.org,(847) 415-1370,Campus Exterior Maintenance — Congregation B'nai Shalom of Buffalo Grove,D,"$3,000",bnaishalom.org,Jewish - Traditional/Orthodox. Traditional Orthodox synagogue serving northwest suburbs.,Ready to Send
Congregation Or Shalom,Church/Religious,Vernon Hills,60061,Lake,Office,orshalom@orshalomlc.org,(847) 362-1948,Campus Exterior Maintenance — Congregation Or Shalom,D,"$3,000",orshalomlc.org,Jewish - Reform. Reform synagogue serving Lake County.,Ready to Send
Chabad Jewish Center of Vernon Hills,Church/Religious,Vernon Hills,60061,Lake,Office,rabbi@chabadvernonhills.org,(847) 984-2919,Campus Exterior Maintenance — Chabad Jewish Center of Vernon Hills,D,"$3,000",chabadvernonhills.org,"Jewish - Chabad/Orthodox. Chabad center with synagogue, classes, youth programs.",Ready to Send
Rohr Chabad Center of Glenview,Church/Religious,Glenview,60025,Cook,Office,chabad@chabadofglenview.com,(847) 910-1738,Campus Exterior Maintenance — Rohr Chabad Center of Glenview,D,"$3,000",chabadofglenview.com,Jewish - Chabad/Orthodox. Chabad center serving Glenview and Morton Grove.,Ready to Send
Lincolnwood Jewish Congregation A.G. Beth Israel,Church/Religious,Lincolnwood,60712,Cook,Office,,(847) 676-0491,Campus Exterior Maintenance — Lincolnwood Jewish Congregation A.G. Beth Israel,D,"$3,000",ljcagbi.org,Jewish - Modern Orthodox. Modern Orthodox synagogue. Significant building one block south of Touhy Ave.,Phone First
Lubavitch Chabad of Niles - F.R.E.E.,Church/Religious,Des Plaines,60016,Cook,Office,,(847) 296-1770,Campus Exterior Maintenance — Lubavitch Chabad of Niles - F.R.E.E.,D,"$3,000",chabadandfree.com,Jewish - Chabad/Orthodox. Chabad center serving Niles/Des Plaines area. Russian Jewish community outreach.,Phone First
Maine Township Jewish Congregation Shaare Emet,Church/Religious,Des Plaines,60016,Cook,Office,,(847) 297-2006,Campus Exterior Maintenance — Maine Township Jewish Congregation Shaare Emet,D,"$3,000",,"Jewish - Conservative. LARGE building on Ballard Rd. Historic synagogue, may have merged with Northbrook Community Synagogue - verify status.",Phone First
Congregation Beth Judea,Church/Religious,Long Grove,60047,Lake,Office,info@bethjudea.org,(847) 634-0777,Campus Exterior Maintenance — Congregation Beth Judea,D,"$3,000",bethjudea.org,"Jewish - Conservative. LARGE Conservative synagogue campus. Serves families from Palatine, Libertyville, Glenview, Vernon Hills, Buffalo Grove. Major building with school and social hall.",Ready to Send
Temple Chai,Church/Religious,Long Grove,60047,Lake,Office,info@templechai.org,(847) 537-1771,Campus Exterior Maintenance — Temple Chai,D,"$3,000",templechai.org,Jewish - Reform. Reform synagogue celebrating 50th anniversary. Serves Schaumburg/Long Grove area.,Ready to Send
Beth Tikvah Congregation,Church/Religious,Hoffman Estates,60169,Cook,Office,,(847) 885-4545,Campus Exterior Maintenance — Beth Tikvah Congregation,D,"$3,000",beth-tikvah.org,Jewish - Reform. Reform synagogue with early childhood center. Serves Schaumburg/Hoffman Estates area. Campus with school.,Phone First
Congregation Kneseth Israel,Church/Religious,Elgin,60120,Kane,Office,cki@ckielgin.org,(847) 741-5656,Campus Exterior Maintenance — Congregation Kneseth Israel,D,"$3,000",ckielgin.org,Jewish - Reform. Reform synagogue with Torah school. Historic congregation in Elgin.,Ready to Send
Am Yisrael Conservative Congregation,Church/Religious,Northfield,60093,Cook,Office,,(847) 446-7215,Campus Exterior Maintenance — Am Yisrael Conservative Congregation,D,"$3,000",amyisrael.org,Jewish - Conservative. Conservative congregation serving North Shore / Lake County communities.,Phone First
Chabad of Deerfield,Church/Religious,Deerfield,60015,Lake,Office,rabbi@deerfieldchabad.com,(847) 444-9101,Campus Exterior Maintenance — Chabad of Deerfield,D,"$3,000",nschabad.org,Jewish - Chabad/Orthodox. Chabad center serving Deerfield community. Connected to North Suburban Chabad.,Ready to Send
Muslim Community Center (MCC) Mosque & MCC Academy,Church/Religious,Morton Grove,60053,Cook,Office,Counseling@mccchicago.org,(847) 470-8801,Campus Exterior Maintenance — Muslim Community Center (MCC) Mosque & MCC Academy,D,"$3,000",mccchicago.org,"Islam - Sunni. VERY LARGE campus. Established 1969, one of largest Muslim organizations in Chicagoland. Mosque + MCC Academy full-time school (accredited K-8). Community center, classrooms, offices. M",Ready to Send
Islamic Community Center of Des Plaines (ICCD),Church/Religious,Des Plaines,60016,Cook,Office,info@iccofdesplaines.org,(847) 824-1100,Campus Exterior Maintenance — Islamic Community Center of Des Plaines (ICCD),D,"$3,000",iccdmasjid.org,Islam. LARGE mosque and Islamic center. Major facility on Potter Rd. One of the primary mosques in the northwest suburbs.,Ready to Send
Des Plaines Downtown Masjid (DDM),Church/Religious,Des Plaines,60016,Cook,Office,info@ddmasjid.org,(773) 587-3786,Campus Exterior Maintenance — Des Plaines Downtown Masjid (DDM),D,"$3,000",ddmasjid.org,Islam. Downtown Des Plaines mosque. Includes SAFA School.,Ready to Send
Islamic Cultural Center of Greater Chicago,Church/Religious,Northbrook,60062,Cook,Office,iccgc1810@gmail.com,(847) 272-0319,Campus Exterior Maintenance — Islamic Cultural Center of Greater Chicago,D,"$3,000",iccgreaterchicago.com,Islam. LARGE purpose-built masjid. First Muslim minaret built in Illinois. Significant campus with community center. Architecturally notable.,Ready to Send
Islamic Foundation North,Church/Religious,Libertyville,60048,Lake,Office,,(847) 406-3730,Campus Exterior Maintenance — Islamic Foundation North,D,"$3,000",ifnonline.com,Islam. LARGE mosque and Islamic center in Lake County. Expansion project underway. Major community facility.,Phone First
Masjid Rahmah - Great America Islamic Center,Church/Religious,Lake Villa,60046,Lake,Office,masjid.rahmah.us@gmail.com,(773) 501-4479,Campus Exterior Maintenance — Masjid Rahmah - Great America Islamic Center,D,"$3,000",masjidrahmah.us,"Islam. Serves Waukegan, Gurnee, Round Lake, Lake Villa, Antioch, Fox Lake, Grayslake. Food pantry on site.",Ready to Send
Masjid As-Sunnah Chicago,Church/Religious,Skokie,60077,Cook,Office,masjidsunnahchi@gmail.com,(224) 592-0650,Campus Exterior Maintenance — Masjid As-Sunnah Chicago,D,"$3,000",masjidsunnahchi.org,Islam. Multi-cultural diverse mosque in Skokie.,Ready to Send
Masjid Suffah (Suffah Educational Guidance),Church/Religious,Skokie,60077,Cook,Office,suffaheducationalguidance@gmail.com,(224) 470-2161,Campus Exterior Maintenance — Masjid Suffah (Suffah Educational Guidance),D,"$3,000",suffaheducational.org,Islam. Mosque with educational center in Skokie.,Ready to Send
Dar-us-Sunnah Masjid and Community Center,Church/Religious,Evanston,60201,Cook,Office,,(224) 627-3144,Campus Exterior Maintenance — Dar-us-Sunnah Masjid and Community Center,D,"$3,000",darussunnah.org,Islam. Mosque and community center in Evanston.,Phone First
Masjid Al-Islam / Institute of Islamic Education,Church/Religious,Elgin,60120,Kane,Office,iieoffice@islamicedu.org,(847) 695-4685,Campus Exterior Maintenance — Masjid Al-Islam / Institute of Islamic Education,D,"$3,000",islamicedu.org,Islam. LARGE campus. Mosque + Institute of Islamic Education (full-time school). Major educational and worship facility.,Ready to Send
Masjid Al Amal - Islamic Community Center of Elgin,Church/Religious,Elgin,60120,Kane,Office,,(847) 695-3338,Campus Exterior Maintenance — Masjid Al Amal - Islamic Community Center of Elgin,D,"$3,000",iccelgin.com,Islam. Islamic community center and mosque in Elgin.,Phone First
Baha'i House of Worship,Church/Religious,Wilmette,60091,Cook,Office,,(847) 853-2300,Campus Exterior Maintenance — Baha'i House of Worship,D,"$3,000",bahai.us/bahai-temple,"Baha'i. LANDMARK BUILDING. Only Baha'i House of Worship in North America. 9-sided domed temple, massive ornate building. Welcome Center at 112 Linden Ave. Open daily. Extensive grounds and gardens. HU",Phone First
BAPS Shri Swaminarayan Mandir Chicago,Church/Religious,Bartlett,60103,Cook,Office,chicago@baps.org,(630) 213-2277,Campus Exterior Maintenance — BAPS Shri Swaminarayan Mandir Chicago,D,"$3,000",baps.org/Global-Network/North-America/Chicago.aspx,Hindu - Swaminarayan. MASSIVE temple complex. Largest Swaminarayan mandir in Illinois. Hand-carved Italian marble and Turkish limestone. Opened 2004. Enormous ornate building with extensive grounds. P,Ready to Send
Hanuman Mandir of Greater Chicago,Church/Religious,Glenview,60025,Cook,Office,info@hanumanchicago.org,(847) 832-4444,Campus Exterior Maintenance — Hanuman Mandir of Greater Chicago,D,"$3,000",hanumanchicago.org,Hindu. Hindu temple with 23.5-foot tall marble Hanuman statue. Drive-through darshan feature. Significant building.,Ready to Send
Shree Swaminarayan Temple ISSO Chicago,Church/Religious,Itasca,60143,DuPage,Office,nndymchicago@gmail.com,(630) 225-7400,Campus Exterior Maintenance — Shree Swaminarayan Temple ISSO Chicago,D,"$3,000",issochicago.org,"Hindu - Swaminarayan. LARGE ornate temple. First Shikharbaddha Swaminarayan temple in America. Inaugurated 1998. Massive building, most expensive Hindu worship place built in Midwest at its time.",Ready to Send
Hindu Mandir of Lake County,Church/Religious,Grayslake,60030,Lake,Office,,(847) 223-8590,Campus Exterior Maintenance — Hindu Mandir of Lake County,D,"$3,000",hindumandiroflakecounty.org,"Hindu. LARGE temple on 22-acre property. Constructed 2007. Serves Mundelein, Waukegan, Gurnee, Lake County Hindu community. Major campus.",Phone First
Sikh Religious Society of Chicago - Gurdwara Palatine,Church/Religious,Palatine,60067,Cook,Office,,(847) 358-1117,Campus Exterior Maintenance — Sikh Religious Society of Chicago - Gurdwara Palatine,D,"$3,000",srschicago.org,Sikh. VERY LARGE campus. 14-acre property. Largest Gurdwara in the Midwest. First Gurdwara in Greater Chicago (opened 1979). 7-day-a-week services. MASSIVE building complex with community kitchen (lan,Phone First
Phat Bao Buddhist Temple,Church/Religious,Des Plaines,60016,Cook,Office,,(847) 827-4599,Campus Exterior Maintenance — Phat Bao Buddhist Temple,D,"$3,000",,Buddhist - Vietnamese. Vietnamese Buddhist temple. Significant building with ornate features.,Phone First
Jain Society of Metropolitan Chicago,Church/Religious,Bartlett,60103,Cook,Office,,(630) 837-1077,Campus Exterior Maintenance — Jain Society of Metropolitan Chicago,D,"$3,000",jsmconline.org,"Jain. VERY LARGE - 84,000 sq ft Jain Center and Temple. Major campus at Route 59 and Route 20. Founded 1970. One of the largest Jain temples in the US. PREMIUM power washing target.",Phone First
Saints Peter & Paul Greek Orthodox Church,Church/Religious,Glenview,60025,Cook,Office,office@ssppglenview.org,(847) 729-2235,Campus Exterior Maintenance — Saints Peter & Paul Greek Orthodox Church,D,"$3,000",ssppglenview.org,"Greek Orthodox. LARGE Greek Orthodox church. Ornate building with Byzantine-style architecture. Community center, classrooms.",Ready to Send
Holy Taxiarhai & St. Haralambos Greek Orthodox Church,Church/Religious,Niles,60714,Cook,Office,,(847) 647-8880,Campus Exterior Maintenance — Holy Taxiarhai & St. Haralambos Greek Orthodox Church,D,"$3,000",saintharalambosgoc.org,Greek Orthodox. LARGE Greek Orthodox church established 1951. Significant ornate building on Caldwell Ave. Community center and Hellenic education programs.,Phone First
St. John the Baptist Greek Orthodox Church,Church/Religious,Des Plaines,60016,Cook,Office,stjohn@stjohnthebaptistgoc.org,(847) 827-5510,Campus Exterior Maintenance — St. John the Baptist Greek Orthodox Church,D,"$3,000",stjohnthebaptistgoc.org,"Greek Orthodox. LARGE Greek Orthodox church. 55+ year history. Major ornate building with dome, community center, Hellenic school.",Ready to Send
St. Nectarios Greek Orthodox Church,Church/Religious,Palatine,60067,Cook,Office,,(847) 358-5170,Campus Exterior Maintenance — St. Nectarios Greek Orthodox Church,D,"$3,000",stnectariosgoc.org,Greek Orthodox. Greek Orthodox church in Palatine. Serves northwest suburban Greek community.,Phone First
St. Basil of Ostrog Serbian Orthodox Church,Church/Religious,Lake Forest/Mettawa,60045,Lake,Office,office@stbasilchurch.org,(847) 247-0077,Campus Exterior Maintenance — St. Basil of Ostrog Serbian Orthodox Church,D,"$3,000",stbasilchurch.org,Serbian Orthodox. Serbian Orthodox church serving Lake County and Northern Cook County. Established 1997. Campus with church and community hall.,Ready to Send
First Korean Presbyterian Church,Church/Religious,Glenview,60025,Cook,Office,,(847) 299-1776,Campus Exterior Maintenance — First Korean Presbyterian Church,D,"$3,000",fkpcem.org,Korean Presbyterian (PCUSA). Large Korean Presbyterian church in Glenview. 25+ year established church. Major Korean community presence.,Phone First
Hahna Korean Presbyterian Church,Church/Religious,Des Plaines,60016,Cook,Office,,(847) 803-1131,Campus Exterior Maintenance — Hahna Korean Presbyterian Church,D,"$3,000",hahnachurch.org,Korean Presbyterian (PCUSA). Large Korean church established 1982. Multi-generational with English ministry. Significant campus.,Phone First
Hebron Presbyterian Church,Church/Religious,Prospect Heights,60070,Cook,Office,,(847) 394-8454,Campus Exterior Maintenance — Hebron Presbyterian Church,D,"$3,000",hebron.org,Korean Presbyterian (PCA). LARGE Korean church. ~500 attendees Korean ministry + ~130 English ministry. Established 1985. Major campus with large building.,Phone First
Petra Presbyterian Church,Church/Religious,Mount Prospect,60056,Cook,Office,,(847) 498-5880,Campus Exterior Maintenance — Petra Presbyterian Church,D,"$3,000",petrachurch.org,Korean Presbyterian (PCA). Korean Presbyterian church in Mount Prospect.,Phone First
Chicago First Korean Church of the Nazarene,Church/Religious,Schaumburg,60173,Cook,Office,,(630) 529-2345,Campus Exterior Maintenance — Chicago First Korean Church of the Nazarene,D,"$3,000",,Korean Nazarene. Korean Church of the Nazarene in Schaumburg.,Phone First
Congregation Etz Chaim of DuPage County,Church/Religious,Lombard,60148,DuPage,Office,cec.info@congetzchaim.org,(630) 627-3912,Campus Exterior Maintenance — Congregation Etz Chaim of DuPage County,D,"$3,000",mycec.org,"Jewish - Reform. LARGE Reform synagogue serving 500+ families. Members from 67+ cities including Arlington Heights, Des Plaines, Morton Grove.",Ready to Send
DarusSalam Foundation / Masjid DarusSalam,Church/Religious,Lombard,60148,DuPage,Office,info@dsfnd.org,(630) 360-2373,Campus Exterior Maintenance — DarusSalam Foundation / Masjid DarusSalam,D,"$3,000",masjidds.org,"Islam. VERY LARGE - 87,000 sq ft Islamic community center and mosque. One of the largest mosques in the Chicago area. PREMIUM power washing target.",Ready to Send
